area_per_mol,surface_pressure,sdt,barrier_pos,cell2_value,force_value,surface_tension,surface_area,mave1,mave2,"tare_offset1, tare_offset2"
1,72.87333817085356,19316.916570822443,0,104.09814790425011,-0.0035512559999945014,-0.1233381708535515,1,-0.1233381708535515,104.09814790425011,4912695.4,6093280.08
1,72.66924553200356,19316.916578568635,0,104.67021804406906,0.0023675040000054985,0.08075446799644896,1,-0.02129185142855127,104.38418297415959,4912695.4,6093280.08
1,72.50637858828286,19316.916588564083,0,104.93080515402218,0.007090704000005498,0.24362141171714755,1,0.067012569620015,104.56639036744711,4912695.4,6093280.08
1,72.42036448363037,19316.916597427557,0,104.75725006711981,0.009585144000005498,0.3296355163696415,1,0.13266830630742163,104.61410529236528,4912695.4,6093280.08
1,72.44479452518846,19316.91660853397,0,105.21225959113951,0.008876664000005498,0.30520547481153676,1,0.16717574000824467,104.73373615212013,4912695.4,6093280.08
1,72.20761953839519,19316.916619622672,0,105.48658859946906,0.015754824000005496,0.542380461604804,1,0.2297098602743379,104.85921156001162,4912695.4,6093280.08
1,72.22797790636028,19316.91662738435,0,105.1445680176556,0.015164424000005498,0.5220220936397167,1,0.2714687507551063,104.89997676824647,4912695.4,6093280.08
1,72.54964012020866,19316.916637366412,0,104.64171632891794,0.005836104000005498,0.200359879791337,1,0.26258014188463513,104.86769421333042,4912695.4,6093280.08
1,72.67789783838872,19316.916642926204,0,104.12664961940123,0.0021165840000054986,0.07210216161128684,1,0.24141592185426308,104.78535592511606,4912695.4,6093280.08
1,73.50190278177563,19316.916658449885,0,102.88020854073876,-0.0217798559999945,-0.7519027817756228,1,0.1420840514912745,104.59484118667834,4912695.4,6093280.08
1,73.4301395346987,19316.916668415382,0,103.19729012179499,-0.0196986959999945,-0.6801395346986898,1,0.06733645274673229,104.46779108987076,4912695.4,6093280.08
1,73.10847732085031,19316.916676176945,0,103.5510167651884,-0.010370375999994502,-0.35847732085031014,1,0.03185197161364542,104.39139322948057,4912695.4,6093280.08
1,73.08557415688959,19316.916683956228,0,103.39273045425983,-0.009706175999994501,-0.33557415688958686,1,0.003588423267242936,104.31457301600206,4912695.4,6093280.08
1,72.72777583990317,19316.916695044398,0,103.89965381659052,0.0006701040000054985,0.022224160096822883,1,0.004919547326498646,104.2849359303298,4912695.4,6093280.08
1,72.73999086068223,19316.916703906445,0,104.02892945316881,0.0003158640000054985,0.010009139317770486,1,0.005258853459250102,104.2678688318524,4912695.4,6093280.08
1,72.71047122713286,19316.916715005045,0,104.26508652156383,0.0011719440000054985,0.03952877286714711,1,0.007400723422243682,104.26769493745937,4912695.4,6093280.08
1,72.7618761062447,19316.916726091597,0,104.47325083400685,-0.00031881599999450145,-0.01187610624469839,1,0.006266792265364737,104.27978646078569,4912695.4,6093280.08
1,73.03366031857861,19316.916736083982,0,104.4386416084662,-0.008200655999994502,-0.2836603185786142,1,-0.009840269448189646,104.28861174676794,4912695.4,6093280.08
1,72.92932368275754,19316.91674606,0,104.54654095868116,-0.005174855999994501,-0.17932368275754165,1,-0.018760449096050277,104.30218696844759,4912695.4,6093280.08
1,72.6514319600341,19316.91675715536,0,104.86311358053827,0.0028841040000054984,0.09856803996590036,1,-0.012894024642952745,104.33023329905211,4912695.4,6093280.08
1,72.53589822183223,19316.91676712302,0,104.95269039958465,0.0062346240000054984,0.21410177816777093,1,0.0039779728081133624,104.37296042381884,4912695.4,6093280.08
1,72.64481549044545,19316.916777119826,0,104.48444793638764,0.0030759840000054986,0.10518450955455375,1,0.005199474886018606,104.36367191843479,4912695.4,6093280.08
1,72.7170876967215,19316.916788205497,0,104.05641324992169,0.0009800640000054985,0.03291230327849373,1,-0.005335980535914081,104.31995232322974,4912695.4,6093280.08
1.626829268292683e-13,71.5317217219543,19316.917014455543,2000,103.63143231865048,0.035356104000005495,1.2182782780457033,1,0.039096157547889004,104.26366143580628,4912695.4,6093280.08
